additive_id,notes
1,Curcumin. Natural yellow colorant from turmeric. Safe. Has anti-inflammatory properties. Used in mustard and curry products.
2,Riboflavin (Vitamin B2). Natural yellow-orange colorant. Safe and nutritious. Found in many foods.
3,Tartrazine. Synthetic yellow dye. May cause hyperactivity in children. Can trigger allergic reactions. Subject to labeling requirements.
4,Chrysoine - synthetic yellow-orange dye. BANNED in many countries including EU. Should not be in commerce.
5,Quinoline Yellow. Synthetic dye. May cause hyperactivity in children. Banned in some countries. Avoid if sensitive.
6,Fast Yellow - azo dye. BANNED in EU and USA. Possible carcinogen. Not permitted.
8,Yellow 2G - azo dye. BANNED in EU since 2007 for genotoxic risks. Do not use.
9,Sunset Yellow. Azo dye. May cause hyperactivity in children and allergic reactions. Banned in some countries.
10,Cochineal (Carmine). Natural red dye from insects. May cause severe allergic reactions. Not suitable for vegetarians.
11,Orcein - red dye. BANNED in EU. Potential carcinogen.
12,Carmoisine. Synthetic red dye. May cause hyperactivity in children. Can trigger asthma. Banned in some countries.
13,Amaranth - red azo dye. BANNED in USA since 1976 (suspected carcinogen). In EU permitted only for caviar. AVOID.
14,Ponceau 4R. Synthetic red dye. May cause hyperactivity in children. Linked to allergic reactions. Banned in USA and Norway.
15,Ponceau SX - red dye. BANNED in many countries including EU.
16,Ponceau 6R - red azo dye. BANNED in EU and USA. Suspected carcinogen.
17,Erythrosine - red dye containing iodine. Possible thyroid disruptor and suspected carcinogen. Banned in many countries. AVOID.
19,Allura Red. Synthetic red dye. May cause hyperactivity in children. Possible allergen. Widely used in USA.
20,Indanthrene Blue - synthetic dye. BANNED in EU. Do not use.
21,Patent Blue V. Synthetic blue dye. May cause allergic reactions. Banned in several countries including USA and Australia.
22,Indigotine (Indigo Carmine). Synthetic blue dye. May cause nausea and high blood pressure. Possible allergen.
23,Brilliant Blue FCF. Synthetic blue dye. Generally safe but may cause allergic reactions in sensitive individuals.
24,Chlorophylls - natural green colorant extracted from plants. Completely safe.
25,Copper complexes of chlorophylls - chlorophyll derivatives stabilized with copper. Safe.
26,"Green S/Acid Brilliant Green - synthetic green dye. Approved by EFSA but banned in some countries (Canada, USA, Japan). Possible rare allergic reactions."
27,Plain caramel. Natural brown colorant. Generally safe. Widely used in soft drinks and sauces.
29,Ammonia caramel. Brown colorant. May contain traces of ammonia. Generally recognized as safe in small amounts.
30,Sulfite ammonia caramel. Most widely used caramel. Contains sulfites - may cause reactions in asthmatics. Common in cola drinks.
31,"Brilliant Black BN - black azo dye. Possible allergies. Banned in many countries (USA, Canada, Japan). Should be limited."
32,Carbon Black 7984 - black dye from coal. BANNED in EU for safety reasons.
33,"Vegetable carbon - black colorant from plant combustion. Controversial, may interfere with medications."
34,Brown FK - synthetic brown dye. Approved in EU but banned in many other countries. Use with caution.
35,"Brown HT/Chocolate Brown - synthetic brown dye. Approved by EFSA but banned in some countries (USA, Australia). Possible rare allergies."
36,Carotenes (Beta-carotene). Natural orange colorant and vitamin A precursor. Safe and nutritious. Found in carrots and many vegetables.
38,Paprika extract. Natural red-orange colorant. Safe. Derived from paprika peppers. Used in cheese and sauces.
47,Beetroot Red/Betanin - natural red-purple colorant. Very safe.
48,"Anthocyanins. Natural purple-red colorants from fruits. Safe. Found in berries, grapes, and red cabbage."
49,"Calcium carbonate - white colorant, calcium source. Completely safe."
50,Titanium dioxide - white colorant. EFSA evaluating ban for possible risks (nanoparticles). France already banned since 2020. AVOID.
51,"Iron oxides and hydroxides - yellow/red/black colorants. Natural, very safe."
52,Aluminium - metallic colorant. Controversial (links to Alzheimer not proven but caution advised).
53,"Silver - used for food decorations. Expensive, inert, non-toxic."
54,Gold - used for food decorations. Completely inert.
55,Lithol Rubine BK/Pigment Ruby - synthetic red dye. Only for cheese rind. Limited and specific use.
57,"Common preservative. Generally safe. Used in beverages, cheese, and baked goods."
58,Sodium sorbate - salt of sorbic acid. Safe like E200.
59,"Potassium sorbate. Widely used preservative. Generally recognized as safe. Found in wine, cheese, and dried meats."
60,Calcium sorbate - like E200-202. Safe.
61,Benzoic acid. Natural preservative found in berries. May cause allergic reactions. Not recommended for children.
62,May cause allergic reactions. Avoid with asthma. Common in soft drinks.
63,Potassium benzoate - like E211. Possible allergies.
64,Calcium benzoate - like E211-212. Possible allergies.
65,"Ethyl p-hydroxybenzoate (paraben) - preservative. Possible endocrine disruptor. Controversial, limit use."
66,"Sodium ethyl p-hydroxybenzoate - like E214. Paraben, controversial."
67,Propyl p-hydroxybenzoate - paraben preservative. Possible endocrine disruptor. BANNED in EU since 2006.
68,Sodium propyl p-hydroxybenzoate - paraben. BANNED in EU together with E216.
69,Methyl p-hydroxybenzoate - paraben. Less controversial than E214-217 but use caution.
70,Sodium methyl p-hydroxybenzoate - like E218.
71,Sulfites - may cause reactions in asthmatics. Used in wine and dried fruits.
72,Sodium sulfite. May trigger asthma attacks. Destroys vitamin B1. Common in wine and dried fruits.
73,Sodium bisulfite - sulfite. Risk of allergies/asthma.
74,Sodium metabisulfite - common sulfite in wine. Caution for asthmatics and allergics.
75,Potassium metabisulfite - sulfite used in wine. Caution for asthmatics.
76,"Potassium sulfite - sulfite preservative. Like E220-224, caution for asthmatics. Destroys vitamin B1."
77,"Calcium sulfite - preservative. Caution for asthmatics, may cause severe respiratory reactions."
78,Calcium hydrogen sulfite - sulfite preservative. Risk of allergies and asthma like other sulfites.
79,Potassium bisulfite - sulfite preservative used in wine. Caution for asthmatics.
80,Biphenyl/Diphenyl - preservative for citrus (on peel). HIGHLY TOXIC if ingested. Always wash treated fruit. Banned in some countries.
81,Orthophenylphenol - fungicide for citrus peels. Possible carcinogen. Wash fruit well. Banned in some countries.
82,"Sodium orthophenylphenate - like E231, fungicide for peels. Always wash treated fruit."
83,Thiabendazole - systemic fungicide for fruit. Can penetrate peel. Possible neurological effects. Limit exposure.
84,"Nisin - natural bacteriostatin from fermentation. Safe, used in cheeses and preserves."
85,Natamycin/Pimaricin - natural antifungal. Used only for surface of cheeses and cured meats.
89,Hexamethylenetetramine - synthetic preservative. Can release formaldehyde (carcinogenic). AVOID. Banned in many countries.
90,Formaldehyde - preservative. PROVEN CARCINOGEN. BANNED in EU for food use.
91,Dimethyl dicarbonate - preservative for beverages. Decomposes rapidly into CO2 and methanol (traces).
92,"Potassium nitrite - cured meat preservative. Like E250, can form carcinogenic nitrosamines. Low ADI, limit cured meats."
93,Sodium nitrite. Used in cured meats. May form carcinogenic compounds at high temperatures. Keep consumption moderate.
94,Sodium nitrate. Preservative in cured meats. Converted to nitrite in the body. Moderate consumption advised.
95,Potassium nitrate. Used in cured meats and cheese. May affect blood pressure. Limit intake.
96,Acetic acid - vinegar. Completely natural and safe.
97,"Potassium acetate - acidity regulator. Salt of vinegar, completely safe."
